team_id,team,league,fifa_edition,update
10,Manchester City,ENG-Premier League,FC 25,"Dec 18, 2024"
9,Liverpool,ENG-Premier League,FC 25,"Dec 18, 2024"
1,Arsenal,ENG-Premier League,FC 25,"Dec 18, 2024"
5,Chelsea,ENG-Premier League,FC 25,"Dec 18, 2024"
11,Manchester United,ENG-Premier League,FC 25,"Dec 18, 2024"
18,Tottenham Hotspur,ENG-Premier League,FC 25,"Dec 18, 2024"
2,Aston Villa,ENG-Premier League,FC 25,"Dec 18, 2024"
13,Newcastle United,ENG-Premier League,FC 25,"Dec 18, 2024"
19,West Ham United,ENG-Premier League,FC 25,"Dec 18, 2024"
1799,Crystal Palace,ENG-Premier League,FC 25,"Dec 18, 2024"
1808,Brighton & Hove Albion,ENG-Premier League,FC 25,"Dec 18, 2024"
14,Nottingham Forest,ENG-Premier League,FC 25,"Dec 18, 2024"
110,Wolverhampton Wanderers,ENG-Premier League,FC 25,"Dec 18, 2024"
144,Fulham,ENG-Premier League,FC 25,"Dec 18, 2024"
7,Everton,ENG-Premier League,FC 25,"Dec 18, 2024"
1925,Brentford,ENG-Premier League,FC 25,"Dec 18, 2024"
1943,AFC Bournemouth,ENG-Premier League,FC 25,"Dec 18, 2024"
17,Southampton,ENG-Premier League,FC 25,"Dec 18, 2024"
95,Leicester City,ENG-Premier League,FC 25,"Dec 18, 2024"
94,Ipswich Town,ENG-Premier League,FC 25,"Dec 18, 2024"
243,Real Madrid,ESP-La Liga,FC 25,"Dec 18, 2024"
241,FC Barcelona,ESP-La Liga,FC 25,"Dec 18, 2024"
240,Atlético Madrid,ESP-La Liga,FC 25,"Dec 18, 2024"
448,Athletic Club,ESP-La Liga,FC 25,"Dec 18, 2024"
110062,Girona,ESP-La Liga,FC 25,"Dec 18, 2024"
457,Real Sociedad,ESP-La Liga,FC 25,"Dec 18, 2024"
483,Villarreal,ESP-La Liga,FC 25,"Dec 18, 2024"
449,Real Betis,ESP-La Liga,FC 25,"Dec 18, 2024"
481,Sevilla,ESP-La Liga,FC 25,"Dec 18, 2024"
453,Mallorca,ESP-La Liga,FC 25,"Dec 18, 2024"
461,Valencia,ESP-La Liga,FC 25,"Dec 18, 2024"
479,Osasuna,ESP-La Liga,FC 25,"Dec 18, 2024"
480,Rayo Vallecano,ESP-La Liga,FC 25,"Dec 18, 2024"
450,Celta de Vigo,ESP-La Liga,FC 25,"Dec 18, 2024"
472,Las Palmas,ESP-La Liga,FC 25,"Dec 18, 2024"
100888,Leganés,ESP-La Liga,FC 25,"Dec 18, 2024"
1860,Getafe,ESP-La Liga,FC 25,"Dec 18, 2024"
463,Deportivo Alavés,ESP-La Liga,FC 25,"Dec 18, 2024"
452,Espanyol,ESP-La Liga,FC 25,"Dec 18, 2024"
462,Real Valladolid,ESP-La Liga,FC 25,"Dec 18, 2024"
44,Inter,ITA-Serie A,FC 25,"Dec 18, 2024"
47,Milan,ITA-Serie A,FC 25,"Dec 18, 2024"
45,Juventus,ITA-Serie A,FC 25,"Dec 18, 2024"
52,Roma,ITA-Serie A,FC 25,"Dec 18, 2024"
39,Atalanta,ITA-Serie A,FC 25,"Dec 18, 2024"
46,Lazio,ITA-Serie A,FC 25,"Dec 18, 2024"
48,Napoli,ITA-Serie A,FC 25,"Dec 18, 2024"
110374,Fiorentina,ITA-Serie A,FC 25,"Dec 18, 2024"
189,Bologna,ITA-Serie A,FC 25,"Dec 18, 2024"
54,Torino,ITA-Serie A,FC 25,"Dec 18, 2024"
111811,Monza,ITA-Serie A,FC 25,"Dec 18, 2024"
1745,Como,ITA-Serie A,FC 25,"Dec 18, 2024"
50,Parma,ITA-Serie A,FC 25,"Dec 18, 2024"
1842,Cagliari,ITA-Serie A,FC 25,"Dec 18, 2024"
55,Udinese,ITA-Serie A,FC 25,"Dec 18, 2024"
347,Lecce,ITA-Serie A,FC 25,"Dec 18, 2024"
206,Hellas Verona,ITA-Serie A,FC 25,"Dec 18, 2024"
110556,Genoa,ITA-Serie A,FC 25,"Dec 18, 2024"
1746,Empoli,ITA-Serie A,FC 25,"Dec 18, 2024"
205,Venezia,ITA-Serie A,FC 25,"Dec 18, 2024"
21,FC Bayern München,GER-Bundesliga,FC 25,"Dec 18, 2024"
32,Bayer 04 Leverkusen,GER-Bundesliga,FC 25,"Dec 18, 2024"
22,Borussia Dortmund,GER-Bundesliga,FC 25,"Dec 18, 2024"
112172,RB Leipzig,GER-Bundesliga,FC 25,"Dec 18, 2024"
1824,Eintracht Frankfurt,GER-Bundesliga,FC 25,"Dec 18, 2024"
23,Borussia Mönchengladbach,GER-Bundesliga,FC 25,"Dec 18, 2024"
25,SC Freiburg,GER-Bundesliga,FC 25,"Dec 18, 2024"
36,VfB Stuttgart,GER-Bundesliga,FC 25,"Dec 18, 2024"
10029,TSG Hoffenheim,GER-Bundesliga,FC 25,"Dec 18, 2024"
175,VfL Wolfsburg,GER-Bundesliga,FC 25,"Dec 18, 2024"
1831,FC Union Berlin,GER-Bundesliga,FC 25,"Dec 18, 2024"
38,Werder Bremen,GER-Bundesliga,FC 25,"Dec 18, 2024"
100409,FC Augsburg,GER-Bundesliga,FC 25,"Dec 18, 2024"
169,FSV Mainz 05,GER-Bundesliga,FC 25,"Dec 18, 2024"
111235,Heidenheim,GER-Bundesliga,FC 25,"Dec 18, 2024"
160,VfL Bochum 1848,GER-Bundesliga,FC 25,"Dec 18, 2024"
110329,St. Pauli,GER-Bundesliga,FC 25,"Dec 18, 2024"
576,Holstein Kiel,GER-Bundesliga,FC 25,"Dec 18, 2024"
73,Paris Saint Germain,FRA-Ligue 1,FC 25,"Dec 18, 2024"
65,LOSC Lille,FRA-Ligue 1,FC 25,"Dec 18, 2024"
66,Olympique Lyonnais,FRA-Ligue 1,FC 25,"Dec 18, 2024"
69,Monaco,FRA-Ligue 1,FC 25,"Dec 18, 2024"
219,Olympique de Marseille,FRA-Ligue 1,FC 25,"Dec 18, 2024"
64,Lens,FRA-Ligue 1,FC 25,"Dec 18, 2024"
72,Nice,FRA-Ligue 1,FC 25,"Dec 18, 2024"
378,Stade Brestois 29,FRA-Ligue 1,FC 25,"Dec 18, 2024"
74,Rennes,FRA-Ligue 1,FC 25,"Dec 18, 2024"
70,Montpellier,FRA-Ligue 1,FC 25,"Dec 18, 2024"
379,Stade de Reims,FRA-Ligue 1,FC 25,"Dec 18, 2024"
1809,Toulouse,FRA-Ligue 1,FC 25,"Dec 18, 2024"
71,Nantes,FRA-Ligue 1,FC 25,"Dec 18, 2024"
76,Strasbourg,FRA-Ligue 1,FC 25,"Dec 18, 2024"
1738,Le Havre,FRA-Ligue 1,FC 25,"Dec 18, 2024"
1819,Saint-Étienne,FRA-Ligue 1,FC 25,"Dec 18, 2024"
57,Auxerre,FRA-Ligue 1,FC 25,"Dec 18, 2024"
1530,Angers SCO,FRA-Ligue 1,FC 25,"Dec 18, 2024"
112893,Inter Miami,USA-Major League Soccer,FC 25,"Dec 18, 2024"
112996,Los Angeles FC,USA-Major League Soccer,FC 25,"Dec 18, 2024"
697,LA Galaxy,USA-Major League Soccer,FC 25,"Dec 18, 2024"
113149,Cincinnati,USA-Major League Soccer,FC 25,"Dec 18, 2024"
112134,Philadelphia Union,USA-Major League Soccer,FC 25,"Dec 18, 2024"
111144,Seattle Sounders,USA-Major League Soccer,FC 25,"Dec 18, 2024"
687,Columbus Crew,USA-Major League Soccer,FC 25,"Dec 18, 2024"
114640,Charlotte,USA-Major League Soccer,FC 25,"Dec 18, 2024"
101112,Vancouver Whitecaps,USA-Major League Soccer,FC 25,"Dec 18, 2024"
111140,Portland Timbers,USA-Major League Soccer,FC 25,"Dec 18, 2024"
111928,San Jose Earthquakes,USA-Major League Soccer,FC 25,"Dec 18, 2024"
113018,St. Louis CITY SC,USA-Major League Soccer,FC 25,"Dec 18, 2024"
691,New England,USA-Major League Soccer,FC 25,"Dec 18, 2024"
698,Houston Dynamo,USA-Major League Soccer,FC 25,"Dec 18, 2024"
111065,Real Salt Lake,USA-Major League Soccer,FC 25,"Dec 18, 2024"
112606,Orlando City,USA-Major League Soccer,FC 25,"Dec 18, 2024"
112885,Atlanta United,USA-Major League Soccer,FC 25,"Dec 18, 2024"
111138,Minnesota United,USA-Major League Soccer,FC 25,"Dec 18, 2024"
111651,Toronto,USA-Major League Soccer,FC 25,"Dec 18, 2024"
688,DC United,USA-Major League Soccer,FC 25,"Dec 18, 2024"
689,New York RB,USA-Major League Soccer,FC 25,"Dec 18, 2024"
693,Chicago Fire,USA-Major League Soccer,FC 25,"Dec 18, 2024"
695,Dallas,USA-Major League Soccer,FC 25,"Dec 18, 2024"
696,Sporting Kansas City,USA-Major League Soccer,FC 25,"Dec 18, 2024"
112828,New York City,USA-Major League Soccer,FC 25,"Dec 18, 2024"
114161,Austin,USA-Major League Soccer,FC 25,"Dec 18, 2024"
114162,Nashville SC,USA-Major League Soccer,FC 25,"Dec 18, 2024"
111139,CF Montréal,USA-Major League Soccer,FC 25,"Dec 18, 2024"
694,Colorado Rapids,USA-Major League Soccer,FC 25,"Dec 18, 2024"
234,Benfica,POR-Primeira Liga,FC 25,"Dec 18, 2024"
237,Sporting CP,POR-Primeira Liga,FC 25,"Dec 18, 2024"
236,Porto,POR-Primeira Liga,FC 25,"Dec 18, 2024"
1896,Sporting Braga,POR-Primeira Liga,FC 25,"Dec 18, 2024"
1887,Vitória SC,POR-Primeira Liga,FC 25,"Dec 18, 2024"
112809,Famalicão,POR-Primeira Liga,FC 25,"Dec 18, 2024"
744,Rio Ave,POR-Primeira Liga,FC 25,"Dec 18, 2024"
10020,Estoril,POR-Primeira Liga,FC 25,"Dec 18, 2024"
114510,Casa Pia,POR-Primeira Liga,FC 25,"Dec 18, 2024"
1888,Gil Vicente,POR-Primeira Liga,FC 25,"Dec 18, 2024"
1900,Moreirense,POR-Primeira Liga,FC 25,"Dec 18, 2024"
112513,Arouca,POR-Primeira Liga,FC 25,"Dec 18, 2024"
1438,Santa Clara,POR-Primeira Liga,FC 25,"Dec 18, 2024"
1891,Nacional,POR-Primeira Liga,FC 25,"Dec 18, 2024"
1898,Boavista,POR-Primeira Liga,FC 25,"Dec 18, 2024"
131463,AVS,POR-Primeira Liga,FC 25,"Dec 18, 2024"
718,Estrela Amadora,POR-Primeira Liga,FC 25,"Dec 18, 2024"
489,Farense,POR-Primeira Liga,FC 25,"Dec 18, 2024"
605,Al Hilal,SAU-Pro League,FC 25,"Dec 18, 2024"
112139,Al Nassr,SAU-Pro League,FC 25,"Dec 18, 2024"
607,Al Ittihad,SAU-Pro League,FC 25,"Dec 18, 2024"
112387,Al Ahli SFC,SAU-Pro League,FC 25,"Dec 18, 2024"
112096,Al Ettifaq,SAU-Pro League,FC 25,"Dec 18, 2024"
112391,Al Qadsiah FC,SAU-Pro League,FC 25,"Dec 18, 2024"
112393,Al Taawoun FC,SAU-Pro League,FC 25,"Dec 18, 2024"
111674,Al Shabab,SAU-Pro League,FC 25,"Dec 18, 2024"
112408,Al Wahda,SAU-Pro League,FC 25,"Dec 18, 2024"
113217,Damac,SAU-Pro League,FC 25,"Dec 18, 2024"
113037,Al Riyadh,SAU-Pro League,FC 25,"Dec 18, 2024"
113057,Al Fayha,SAU-Pro League,FC 25,"Dec 18, 2024"
112883,Al Khaleej,SAU-Pro League,FC 25,"Dec 18, 2024"
112392,Al Raed,SAU-Pro League,FC 25,"Dec 18, 2024"
112675,Al Orobah FC,SAU-Pro League,FC 25,"Dec 18, 2024"
131735,Al Kholood,SAU-Pro League,FC 25,"Dec 18, 2024"
112390,Al Fateh,SAU-Pro League,FC 25,"Dec 18, 2024"
113060,Al Akhdoud Saudi Club,SAU-Pro League,FC 25,"Dec 18, 2024"
247,PSV,NED-Eredivisie,FC 25,"Dec 18, 2024"
245,Ajax,NED-Eredivisie,FC 25,"Dec 18, 2024"
246,Feyenoord,NED-Eredivisie,FC 25,"Dec 18, 2024"
1908,FC Twente,NED-Eredivisie,FC 25,"Dec 18, 2024"
1906,Alkmaar Zaanstreek,NED-Eredivisie,FC 25,"Dec 18, 2024"
1903,FC Utrecht,NED-Eredivisie,FC 25,"Dec 18, 2024"
1910,NEC,NED-Eredivisie,FC 25,"Dec 18, 2024"
634,Fortuna Sittard,NED-Eredivisie,FC 25,"Dec 18, 2024"
100646,Sparta Rotterdam,NED-Eredivisie,FC 25,"Dec 18, 2024"
100632,Go Ahead Eagles,NED-Eredivisie,FC 25,"Dec 18, 2024"
1913,SC Heerenveen,NED-Eredivisie,FC 25,"Dec 18, 2024"
1914,PEC Zwolle,NED-Eredivisie,FC 25,"Dec 18, 2024"
111380,Almere City,NED-Eredivisie,FC 25,"Dec 18, 2024"
100634,Heracles Almelo,NED-Eredivisie,FC 25,"Dec 18, 2024"
1905,RKC Waalwijk,NED-Eredivisie,FC 25,"Dec 18, 2024"
1907,Willem II,NED-Eredivisie,FC 25,"Dec 18, 2024"
1915,FC Groningen,NED-Eredivisie,FC 25,"Dec 18, 2024"
1904,NAC Breda,NED-Eredivisie,FC 25,"Dec 18, 2024"
325,Galatasaray,TUR-Süper Lig,FC 25,"Dec 18, 2024"
326,Fenerbahçe,TUR-Süper Lig,FC 25,"Dec 18, 2024"
327,Beşiktaş,TUR-Süper Lig,FC 25,"Dec 18, 2024"
436,Trabzonspor,TUR-Süper Lig,FC 25,"Dec 18, 2024"
131174,Eyüpspor,TUR-Süper Lig,FC 25,"Dec 18, 2024"
101014,İstanbul Başakşehir,TUR-Süper Lig,FC 25,"Dec 18, 2024"
111339,Kasımpaşa,TUR-Süper Lig,FC 25,"Dec 18, 2024"
101037,Rizespor,TUR-Süper Lig,FC 25,"Dec 18, 2024"
110776,Gaziantep F.K.,TUR-Süper Lig,FC 25,"Dec 18, 2024"
748,Samsunspor,TUR-Süper Lig,FC 25,"Dec 18, 2024"
101026,Göztepe,TUR-Süper Lig,FC 25,"Dec 18, 2024"
101033,Konyaspor,TUR-Süper Lig,FC 25,"Dec 18, 2024"
101041,Sivasspor,TUR-Süper Lig,FC 25,"Dec 18, 2024"
741,Antalyaspor,TUR-Süper Lig,FC 25,"Dec 18, 2024"
113142,Alanyaspor,TUR-Süper Lig,FC 25,"Dec 18, 2024"
131388,Bodrumspor,TUR-Süper Lig,FC 25,"Dec 18, 2024"
101020,Kayserispor,TUR-Süper Lig,FC 25,"Dec 18, 2024"
101028,Hatayspor,TUR-Süper Lig,FC 25,"Dec 18, 2024"
101016,Adana Demirspor,TUR-Süper Lig,FC 25,"Dec 18, 2024"
